date,price,mrkcap,volume
2014-10-25,7e-06,24519.0,707.0
2014-10-26,1.1e-05,24407.0,2234.0
2014-10-27,1e-05,40807.0,2857.0
2014-10-28,4e-06,37687.0,2185.0
2014-10-29,7e-06,15542.0,1221.0
2014-10-30,7e-06,26243.0,1116.0
2014-10-31,7e-06,25912.0,1444.0
2014-11-01,4e-06,25137.0,269.0
2014-11-02,5e-06,15363.0,295.0
2014-11-03,4e-06,18086.0,286.0
2014-11-04,5e-06,14550.0,551.0
2014-11-05,4e-06,17533.0,1592.0
2014-11-06,4e-06,14112.0,203.0
2014-11-07,4e-06,13586.0,101.0
2014-11-08,4e-06,14844.0,1707.0
2014-11-09,6e-06,15560.0,538.0
2014-11-10,4e-06,21373.0,147.0
2014-11-11,4e-06,14845.0,134.0
2014-11-12,4e-06,14467.0,102.0
2014-11-13,4e-06,16056.0,214.0
2014-11-14,4e-06,15645.0,101.0
2014-11-15,4e-06,14638.0,171.0
2014-11-16,5e-06,14941.0,160.0
2014-11-17,4e-06,19468.0,235.0
2014-11-18,4e-06,14399.0,174.0
2014-11-19,4e-06,13905.0,492.0
2014-11-20,4e-06,14183.0,366.0
2014-11-21,4e-06,13303.0,87.0
2014-11-22,4e-06,13210.0,37.0
2014-11-23,4e-06,13396.0,66.0
2014-11-24,4e-06,13125.0,143.0
2014-11-25,3e-06,13889.0,22.0
2014-11-26,3e-06,10796.0,16.0
2014-11-27,4e-06,10050.0,134.0
2014-11-28,4e-06,13703.0,9.0
2014-11-29,4e-06,13954.0,75.0
2014-11-30,4e-06,13562.0,59.0
2014-12-01,6e-06,14043.0,119.0
2014-12-02,4e-06,20423.0,131.0
2014-12-03,5e-06,16538.0,46.0
2014-12-04,5e-06,17764.0,377.0
2014-12-05,5e-06,17331.0,22.0
2014-12-06,4e-06,16933.0,48.0
2014-12-07,7e-06,13909.0,98.0
2014-12-08,4e-06,21186.0,54.0
2014-12-09,5e-06,13649.0,39.0
2014-12-10,6e-06,19998.0,86.0
2014-12-11,4e-06,22219.0,63.0
2014-12-12,4e-06,13203.0,208.0
2014-12-13,4e-06,13093.0,119.0
2014-12-14,4e-06,13585.0,408.0
2014-12-15,6e-06,13288.0,114.0
2014-12-16,3e-06,21813.0,268.0
2014-12-17,3e-06,11243.0,80.0
2014-12-18,3e-06,15878.0,12.0
2014-12-19,3e-06,17720.0,197.0
2014-12-20,3e-06,18017.0,62.0
2014-12-21,3e-06,18425.0,7.0
2014-12-22,3e-06,18695.0,45.0
2014-12-23,3e-06,19006.0,35.0
2014-12-24,3e-06,19189.0,19.0
2014-12-25,6e-06,18536.0,51.0
2014-12-26,4e-06,37267.0,51.0
2014-12-27,3e-06,22585.0,116.0
2014-12-28,5e-06,18687.0,19.0
2014-12-29,3e-06,32530.0,96.0
2014-12-30,3e-06,18725.0,43.0
2014-12-31,3e-06,18670.0,196.0
2015-01-01,4e-06,19336.0,4.0
2015-01-02,3e-06,22051.0,23.0
2015-01-03,3e-06,20018.0,40.0
2015-01-04,3e-06,17322.0,6.0
2015-01-05,2e-06,16903.0,5.0
2015-01-06,3e-06,14739.0,324.0
2015-01-07,3e-06,17776.0,8.0
2015-01-08,5e-06,20564.0,230.0
2015-01-09,6e-06,33330.0,507.0
2015-01-10,5e-06,35376.0,114.0
2015-01-11,8e-06,34398.0,496.0
2015-01-12,1e-05,51058.0,1134.0
2015-01-13,9e-06,60113.0,487.0
2015-01-14,6e-06,54459.0,151.0
2015-01-15,7e-06,36759.0,35.0
2015-01-16,5e-06,41419.0,69.0
2015-01-17,6e-06,33038.0,47.0
2015-01-18,7e-06,39487.0,19.0
2015-01-19,6e-06,43497.0,12.0
2015-01-20,4e-06,36014.0,120.0
2015-01-21,5e-06,26935.0,75.0
2015-01-22,4e-06,30624.0,8.0
2015-01-23,4e-06,28402.0,17.0
2015-01-24,4e-06,28820.0,27.0
2015-01-25,5e-06,28198.0,61.0
2015-01-26,6e-06,33149.0,47.0
2015-01-27,6e-06,40866.0,49.0
2015-01-28,5e-06,36460.0,41.0
2015-01-29,5e-06,30775.0,17.0
2015-01-30,4e-06,29758.0,3.0
2015-01-31,4e-06,28240.0,13.0
2015-02-01,4e-06,29343.0,8.0
2015-02-02,3e-06,24994.0,35.0
2015-02-03,4e-06,18208.0,57.0
2015-02-04,2e-06,25188.0,188.0
2015-02-05,3e-06,15181.0,45.0
